region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Both sexes,BTSX,74.82
EUR,Europe,SVK,Slovakia,2019,Male,MLE,74.84
AMR,Americas,ATG,Antigua and Barbuda,2019,Male,MLE,74.88
EMR,Eastern Mediterranean,TUN,Tunisia,2019,Male,MLE,74.88
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Female,FMLE,74.97
AMR,Americas,SLV,El Salvador,2019,Both sexes,BTSX,75.03
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Male,MLE,75.04
AMR,Americas,GTM,Guatemala,2019,Female,FMLE,75.04
AMR,Americas,NIC,Nicaragua,2019,Both sexes,BTSX,75.04
EUR,Europe,BGR,Bulgaria,2019,Both sexes,BTSX,75.07
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2019,Male,MLE,75.1
EUR,Europe,UZB,Uzbekistan,2019,Female,FMLE,75.21
EMR,Eastern Mediterranean,OMN,Oman,2019,Female,FMLE,75.26
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Female,FMLE,75.32
AMR,Americas,GRD,Grenada,2019,Female,FMLE,75.33
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Female,FMLE,75.36
AMR,Americas,CUB,Cuba,2019,Male,MLE,75.37
EUR,Europe,LVA,Latvia,2019,Both sexes,BTSX,75.38
EUR,Europe,HRV,Croatia,2019,Male,MLE,75.54
EUR,Europe,ROU,Romania,2019,Both sexes,BTSX,75.57
WPR,Western Pacific,TON,Tonga,2019,Female,FMLE,75.61
SEAR,South-East Asia,BGD,Bangladesh,2019,Female,FMLE,75.64
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2019,Female,FMLE,75.69
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Male,MLE,75.69
EMR,Eastern Mediterranean,LBY,Libya,2019,Both sexes,BTSX,75.78
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Both sexes,BTSX,75.81
AMR,Americas,PRY,Paraguay,2019,Both sexes,BTSX,75.81
EUR,Europe,SRB,Serbia,2019,Both sexes,BTSX,75.87
EUR,Europe,MNE,Montenegro,2019,Both sexes,BTSX,75.88
AMR,Americas,BRA,Brazil,2019,Both sexes,BTSX,75.9
AMR,Americas,JAM,Jamaica,2019,Both sexes,BTSX,75.98
EUR,Europe,LTU,Lithuania,2019,Both sexes,BTSX,75.99
AMR,Americas,MEX,Mexico,2019,Both sexes,BTSX,76.01
EUR,Europe,ARM,Armenia,2019,Both sexes,BTSX,76.03
AMR,Americas,BRB,Barbados,2019,Both sexes,BTSX,76.03
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2019,Both sexes,BTSX,76.08
AMR,Americas,TTO,Trinidad and Tobago,2019,Both sexes,BTSX,76.13
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Female,FMLE,76.15
AMR,Americas,DOM,Dominican Republic,2019,Female,FMLE,76.19
AFR,Africa,DZA,Algeria,2019,Male,MLE,76.23
EUR,Europe,ALB,Albania,2019,Male,MLE,76.25
AMR,Americas,USA,United States of America,2019,Male,MLE,76.28
EUR,Europe,CZE,Czechia,2019,Male,MLE,76.3
AMR,Americas,ECU,Ecuador,2019,Male,MLE,76.41
EUR,Europe,HUN,Hungary,2019,Both sexes,BTSX,76.44
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Both sexes,BTSX,76.44
EUR,Europe,TUR,Türkiye,2019,Male,MLE,76.44
AMR,Americas,ATG,Antigua and Barbuda,2019,Both sexes,BTSX,76.45
